neighbourhood,room_type,minimum_nights,calculated_host_listings_count,availability_365,price
30.0,0.0,1.0,1.0,0.0,70
6.0,1.0,3.0,1.0,269.0,125
100.0,1.0,2.0,2.0,155.0,125
8.0,1.0,1.0,1.0,0.0,220
2.0,0.0,2.0,3.0,0.0,55
68.0,0.0,4.0,1.0,267.0,120
39.0,1.0,1.0,1.0,321.0,179
3.0,0.0,4.0,2.0,156.0,59
79.0,1.0,4.0,1.0,0.0,100
6.0,0.0,10.0,1.0,246.0,50
24.0,0.0,1.0,1.0,0.0,60
1.0,1.0,28.0,1.0,147.0,295
25.0,0.0,1.0,10.0,357.0,89
21.0,0.0,4.0,1.0,363.0,70
6.0,1.0,1.0,6.0,342.0,282
21.0,1.0,2.0,2.0,359.0,160
19.0,0.0,3.0,1.0,0.0,100
21.0,0.0,1.0,2.0,170.0,60
63.0,1.0,27.0,1.0,0.0,50
31.0,0.0,2.0,1.0,10.0,80
13.0,0.0,1.0,1.0,249.0,70
98.0,0.0,1.0,1.0,44.0,53
12.0,0.0,1.0,1.0,0.0,100
2.0,1.0,1.0,2.0,0.0,165
99.0,0.0,2.0,1.0,156.0,45
6.0,0.0,2.0,1.0,0.0,75
12.0,1.0,30.0,1.0,160.0,150
82.0,2.0,1.0,2.0,364.0,30
54.0,1.0,1.0,1.0,361.0,90
63.0,0.0,1.0,1.0,249.0,37
43.0,1.0,29.0,327.0,347.0,137
61.0,1.0,5.0,1.0,332.0,75
21.0,0.0,2.0,3.0,18.0,50
12.0,0.0,4.0,2.0,25.0,60
2.0,0.0,2.0,2.0,0.0,50
82.0,1.0,2.0,1.0,0.0,99
12.0,0.0,3.0,1.0,358.0,75
7.0,0.0,1.0,1.0,0.0,89
75.0,1.0,5.0,3.0,312.0,150
28.0,1.0,3.0,1.0,0.0,150
8.0,1.0,5.0,1.0,166.0,350
2.0,0.0,7.0,1.0,0.0,38
1.0,0.0,1.0,14.0,361.0,475
49.0,1.0,7.0,1.0,0.0,150
6.0,0.0,7.0,1.0,0.0,42
6.0,0.0,20.0,1.0,0.0,35
21.0,1.0,3.0,1.0,3.0,90
21.0,0.0,1.0,1.0,179.0,50
35.0,0.0,4.0,5.0,364.0,130
12.0,1.0,2.0,1.0,2.0,250
2.0,0.0,30.0,6.0,151.0,50
7.0,0.0,1.0,2.0,0.0,95
87.0,1.0,30.0,1.0,342.0,275
6.0,0.0,4.0,1.0,0.0,88
2.0,0.0,2.0,1.0,129.0,115
19.0,0.0,4.0,1.0,0.0,140
7.0,1.0,3.0,1.0,0.0,525
2.0,1.0,3.0,1.0,0.0,100
8.0,1.0,7.0,1.0,151.0,121
43.0,1.0,29.0,96.0,290.0,175
43.0,1.0,9.0,1.0,15.0,200
37.0,0.0,1.0,1.0,0.0,35
12.0,1.0,1.0,1.0,0.0,250
20.0,1.0,4.0,1.0,0.0,137
6.0,1.0,11.0,1.0,189.0,120
27.0,0.0,1.0,4.0,353.0,100
64.0,1.0,28.0,1.0,122.0,269
6.0,0.0,1.0,2.0,0.0,75
23.0,0.0,15.0,4.0,185.0,71
97.0,0.0,5.0,1.0,166.0,69
34.0,0.0,1.0,2.0,59.0,95
63.0,0.0,1.0,2.0,361.0,83
7.0,1.0,30.0,20.0,311.0,130
20.0,1.0,3.0,1.0,0.0,165
21.0,1.0,5.0,1.0,0.0,130
23.0,0.0,1.0,1.0,0.0,65
30.0,1.0,2.0,1.0,0.0,88
8.0,0.0,3.0,1.0,0.0,38
75.0,1.0,1.0,1.0,0.0,110
20.0,0.0,5.0,1.0,241.0,152
14.0,1.0,2.0,1.0,0.0,150
56.0,0.0,1.0,1.0,31.0,65
77.0,1.0,5.0,1.0,73.0,380
71.0,1.0,30.0,232.0,206.0,276
8.0,0.0,1.0,1.0,0.0,65
55.0,1.0,1.0,3.0,171.0,199
20.0,0.0,3.0,1.0,27.0,150
15.0,1.0,5.0,1.0,0.0,125
12.0,0.0,2.0,1.0,0.0,69
1.0,1.0,3.0,12.0,0.0,339
6.0,1.0,1.0,1.0,335.0,150
70.0,1.0,1.0,2.0,311.0,86
70.0,1.0,2.0,1.0,48.0,160
28.0,0.0,5.0,2.0,342.0,105
20.0,0.0,2.0,2.0,126.0,67
10.0,0.0,2.0,1.0,0.0,109
12.0,0.0,1.0,1.0,0.0,80
29.0,1.0,2.0,1.0,0.0,149
5.0,1.0,2.0,327.0,133.0,244
7.0,1.0,2.0,1.0,11.0,70
152.0,1.0,1.0,2.0,253.0,89
19.0,1.0,2.0,2.0,0.0,250
12.0,0.0,2.0,1.0,0.0,110
2.0,1.0,2.0,1.0,0.0,82
117.0,1.0,2.0,3.0,89.0,88
90.0,1.0,1.0,1.0,276.0,175
9.0,0.0,2.0,1.0,0.0,115
6.0,0.0,2.0,2.0,0.0,36
12.0,0.0,1.0,1.0,0.0,50
197.0,1.0,1.0,1.0,0.0,150
1.0,1.0,28.0,49.0,251.0,675
110.0,1.0,1.0,1.0,72.0,100
13.0,1.0,2.0,1.0,0.0,85
21.0,0.0,2.0,1.0,358.0,90
2.0,0.0,2.0,1.0,34.0,57
28.0,1.0,2.0,1.0,2.0,180
12.0,0.0,1.0,1.0,0.0,90
2.0,1.0,3.0,2.0,0.0,200
12.0,0.0,1.0,1.0,0.0,70
79.0,0.0,1.0,2.0,250.0,40
43.0,0.0,2.0,327.0,328.0,262
71.0,1.0,29.0,327.0,220.0,699
6.0,0.0,1.0,1.0,0.0,100
12.0,1.0,4.0,1.0,0.0,175
27.0,1.0,30.0,1.0,342.0,145
7.0,0.0,12.0,4.0,102.0,61
38.0,1.0,4.0,1.0,0.0,150
15.0,0.0,30.0,1.0,302.0,31
51.0,0.0,2.0,1.0,0.0,79
25.0,1.0,2.0,2.0,5.0,69
28.0,1.0,1.0,5.0,339.0,199
31.0,0.0,30.0,103.0,246.0,47
20.0,0.0,4.0,3.0,350.0,46
27.0,1.0,3.0,1.0,0.0,180
17.0,1.0,3.0,1.0,0.0,350
14.0,1.0,6.0,1.0,0.0,180
126.0,0.0,2.0,4.0,307.0,49
30.0,0.0,1.0,1.0,0.0,40
36.0,1.0,30.0,1.0,156.0,350
53.0,0.0,5.0,2.0,42.0,70
12.0,0.0,1.0,3.0,16.0,90
21.0,0.0,25.0,1.0,0.0,49
54.0,0.0,27.0,1.0,94.0,45
70.0,0.0,1.0,5.0,62.0,50
26.0,2.0,1.0,1.0,0.0,65
81.0,1.0,60.0,1.0,132.0,100
2.0,1.0,2.0,1.0,0.0,150
12.0,0.0,10.0,1.0,91.0,150
21.0,1.0,2.0,1.0,314.0,120
10.0,1.0,1.0,1.0,0.0,120
22.0,0.0,60.0,1.0,0.0,35
12.0,0.0,1.0,1.0,4.0,47
2.0,0.0,3.0,2.0,0.0,65
26.0,1.0,2.0,1.0,0.0,1550
15.0,0.0,2.0,1.0,0.0,45
111.0,0.0,30.0,1.0,251.0,30
21.0,0.0,1.0,1.0,0.0,60
56.0,1.0,1.0,1.0,0.0,70
6.0,0.0,2.0,1.0,37.0,65
44.0,1.0,1.0,1.0,0.0,70
33.0,0.0,2.0,2.0,154.0,80
4.0,1.0,3.0,1.0,128.0,130
6.0,0.0,5.0,1.0,12.0,50
0.0,0.0,3.0,1.0,85.0,95
1.0,1.0,28.0,49.0,257.0,714
6.0,0.0,3.0,1.0,38.0,95
9.0,0.0,1.0,1.0,0.0,88
141.0,1.0,10.0,1.0,327.0,120
19.0,1.0,7.0,2.0,9.0,129
103.0,0.0,1.0,1.0,164.0,45
87.0,0.0,2.0,2.0,349.0,70
1.0,1.0,5.0,1.0,0.0,250
14.0,1.0,115.0,19.0,210.0,96
12.0,0.0,2.0,3.0,0.0,90
26.0,0.0,1.0,3.0,55.0,94
206.0,0.0,7.0,2.0,188.0,30
2.0,0.0,1.0,2.0,162.0,89
2.0,0.0,2.0,2.0,0.0,70
38.0,1.0,30.0,2.0,82.0,220
25.0,0.0,29.0,1.0,305.0,100
121.0,1.0,3.0,1.0,3.0,114
21.0,0.0,1.0,1.0,88.0,65
6.0,1.0,1.0,1.0,4.0,102
4.0,1.0,10.0,1.0,0.0,80
8.0,0.0,30.0,32.0,356.0,60
1.0,1.0,4.0,1.0,157.0,325
19.0,1.0,2.0,1.0,135.0,220
71.0,0.0,1.0,15.0,351.0,100
4.0,0.0,2.0,1.0,59.0,145
7.0,1.0,1.0,1.0,0.0,150
45.0,1.0,14.0,1.0,79.0,120
2.0,0.0,3.0,2.0,0.0,52
17.0,1.0,3.0,1.0,335.0,300
21.0,0.0,1.0,1.0,0.0,50
12.0,1.0,1.0,1.0,11.0,145
23.0,1.0,30.0,9.0,281.0,170
49.0,0.0,3.0,1.0,43.0,60
0.0,0.0,1.0,11.0,16.0,56
2.0,1.0,1.0,1.0,8.0,122
19.0,1.0,2.0,2.0,0.0,160
56.0,1.0,3.0,1.0,0.0,85
1.0,0.0,4.0,3.0,155.0,135
37.0,0.0,2.0,2.0,282.0,55
85.0,0.0,2.0,5.0,174.0,65
6.0,0.0,1.0,6.0,237.0,50
1.0,1.0,30.0,96.0,342.0,180
17.0,1.0,5.0,1.0,0.0,78
6.0,2.0,2.0,3.0,311.0,45
30.0,1.0,1.0,2.0,79.0,150
2.0,2.0,3.0,2.0,7.0,25
2.0,0.0,2.0,2.0,90.0,100
8.0,0.0,30.0,4.0,317.0,70
33.0,1.0,5.0,1.0,0.0,130
20.0,1.0,2.0,1.0,0.0,250
2.0,0.0,1.0,1.0,256.0,99
2.0,1.0,2.0,4.0,25.0,344
126.0,1.0,2.0,1.0,32.0,80
13.0,1.0,10.0,4.0,328.0,165
6.0,0.0,4.0,1.0,286.0,45
13.0,1.0,3.0,1.0,0.0,160
4.0,0.0,13.0,1.0,0.0,50
21.0,0.0,7.0,1.0,89.0,31
56.0,1.0,1.0,1.0,148.0,150
5.0,0.0,10.0,1.0,19.0,60
7.0,0.0,2.0,2.0,308.0,175
30.0,0.0,5.0,3.0,1.0,69
79.0,1.0,2.0,1.0,0.0,90
12.0,0.0,5.0,2.0,0.0,45
12.0,0.0,2.0,1.0,0.0,65
28.0,0.0,2.0,1.0,180.0,95
93.0,0.0,1.0,3.0,362.0,55
22.0,0.0,3.0,3.0,298.0,65
27.0,1.0,3.0,1.0,15.0,200
7.0,1.0,1.0,1.0,0.0,175
63.0,1.0,3.0,2.0,336.0,168
83.0,0.0,2.0,1.0,167.0,50
43.0,1.0,14.0,1.0,0.0,130
56.0,1.0,2.0,2.0,79.0,140
4.0,2.0,1.0,1.0,0.0,60
8.0,0.0,20.0,1.0,0.0,69
19.0,1.0,2.0,1.0,7.0,200
7.0,0.0,2.0,3.0,90.0,120
8.0,0.0,1.0,1.0,300.0,140
1.0,1.0,5.0,1.0,339.0,422
12.0,0.0,14.0,2.0,0.0,69
28.0,1.0,2.0,1.0,0.0,650
12.0,1.0,4.0,1.0,5.0,131
105.0,0.0,1.0,1.0,363.0,240
15.0,1.0,60.0,1.0,364.0,150
44.0,0.0,2.0,1.0,0.0,48
0.0,1.0,1.0,1.0,268.0,100
171.0,2.0,1.0,1.0,88.0,50
54.0,0.0,7.0,9.0,365.0,80
6.0,1.0,1.0,14.0,53.0,300
56.0,1.0,1.0,1.0,0.0,100
21.0,1.0,2.0,3.0,0.0,150
0.0,0.0,1.0,1.0,0.0,50
56.0,0.0,2.0,2.0,310.0,70
2.0,0.0,3.0,3.0,341.0,85
196.0,0.0,1.0,1.0,363.0,55
44.0,1.0,7.0,1.0,0.0,225
12.0,1.0,3.0,1.0,104.0,90
46.0,1.0,1.0,3.0,22.0,250
39.0,0.0,1.0,1.0,0.0,85
54.0,1.0,1.0,3.0,87.0,200
32.0,0.0,3.0,1.0,0.0,60
26.0,2.0,2.0,2.0,0.0,49
26.0,1.0,30.0,4.0,325.0,195
8.0,1.0,1.0,1.0,0.0,180
1.0,0.0,3.0,1.0,70.0,90
8.0,1.0,5.0,1.0,0.0,115
16.0,1.0,2.0,1.0,0.0,230
23.0,1.0,1.0,1.0,0.0,900
12.0,0.0,1.0,2.0,0.0,100
20.0,1.0,5.0,1.0,0.0,149
3.0,0.0,2.0,1.0,0.0,149
19.0,0.0,1.0,2.0,90.0,100
6.0,1.0,2.0,1.0,86.0,190
12.0,1.0,4.0,1.0,0.0,120
11.0,1.0,2.0,1.0,67.0,229
12.0,1.0,2.0,1.0,77.0,215
6.0,1.0,4.0,1.0,97.0,110
56.0,0.0,2.0,2.0,0.0,40
8.0,0.0,30.0,3.0,242.0,45
15.0,0.0,8.0,1.0,0.0,45
100.0,0.0,1.0,4.0,334.0,89
152.0,0.0,1.0,2.0,341.0,60
23.0,1.0,2.0,1.0,350.0,300
102.0,1.0,2.0,1.0,0.0,100
6.0,1.0,3.0,1.0,316.0,150
6.0,0.0,2.0,4.0,335.0,52
22.0,0.0,4.0,3.0,0.0,98
33.0,1.0,3.0,1.0,0.0,100
4.0,0.0,2.0,1.0,0.0,100
28.0,1.0,31.0,33.0,338.0,150
28.0,1.0,1.0,1.0,0.0,300
12.0,1.0,30.0,1.0,295.0,118
81.0,0.0,29.0,7.0,1.0,33
4.0,2.0,1.0,2.0,64.0,65
30.0,0.0,3.0,1.0,0.0,50
12.0,0.0,1.0,1.0,357.0,44
39.0,1.0,2.0,1.0,310.0,160
18.0,0.0,1.0,2.0,270.0,149
21.0,0.0,2.0,1.0,0.0,60
7.0,2.0,1.0,6.0,365.0,75
17.0,1.0,2.0,1.0,135.0,175
2.0,0.0,1.0,3.0,72.0,62
2.0,0.0,2.0,2.0,363.0,74
12.0,1.0,2.0,1.0,0.0,199
7.0,0.0,30.0,4.0,121.0,61
6.0,2.0,5.0,3.0,258.0,25
39.0,0.0,1.0,5.0,262.0,80
19.0,1.0,5.0,1.0,0.0,140
23.0,1.0,1.0,1.0,111.0,300
37.0,0.0,2.0,4.0,3.0,80
15.0,0.0,1.0,1.0,0.0,59
6.0,0.0,2.0,1.0,0.0,125
36.0,1.0,4.0,1.0,0.0,160
21.0,1.0,3.0,1.0,248.0,139
31.0,0.0,37.0,37.0,39.0,33
30.0,1.0,7.0,1.0,0.0,150
15.0,0.0,1.0,1.0,58.0,75
32.0,1.0,3.0,2.0,106.0,200
77.0,1.0,14.0,4.0,365.0,490
0.0,1.0,7.0,1.0,59.0,95
14.0,0.0,3.0,2.0,18.0,109
2.0,1.0,28.0,2.0,296.0,99
14.0,2.0,1.0,2.0,0.0,50
20.0,1.0,2.0,1.0,0.0,135
8.0,1.0,30.0,25.0,341.0,300
2.0,1.0,4.0,1.0,128.0,120
6.0,0.0,2.0,1.0,0.0,69
6.0,1.0,1.0,2.0,257.0,96
2.0,1.0,5.0,3.0,88.0,210
1.0,1.0,2.0,1.0,231.0,1000
6.0,1.0,2.0,1.0,231.0,199
33.0,0.0,2.0,1.0,0.0,100
26.0,1.0,30.0,232.0,156.0,308
44.0,1.0,2.0,1.0,11.0,200
14.0,1.0,30.0,232.0,263.0,374
8.0,0.0,1.0,4.0,49.0,129
20.0,1.0,1.0,1.0,0.0,90
6.0,1.0,30.0,1.0,191.0,132
12.0,0.0,5.0,1.0,0.0,80
12.0,1.0,5.0,1.0,213.0,199
29.0,1.0,2.0,1.0,2.0,175
34.0,0.0,14.0,1.0,192.0,80
7.0,0.0,1.0,10.0,333.0,209
6.0,0.0,1.0,4.0,365.0,40
136.0,0.0,5.0,2.0,328.0,40
15.0,0.0,2.0,1.0,22.0,40
2.0,0.0,3.0,1.0,0.0,94
79.0,1.0,2.0,1.0,65.0,170
21.0,2.0,1.0,2.0,0.0,20
3.0,1.0,14.0,1.0,0.0,160
2.0,0.0,1.0,1.0,0.0,115
19.0,1.0,6.0,1.0,0.0,200
4.0,1.0,2.0,1.0,243.0,289
1.0,1.0,2.0,1.0,0.0,299
7.0,0.0,1.0,1.0,322.0,125
112.0,0.0,1.0,3.0,350.0,47
7.0,1.0,1.0,1.0,0.0,150
12.0,1.0,3.0,1.0,0.0,170
30.0,0.0,2.0,1.0,24.0,50
87.0,0.0,1.0,10.0,106.0,55
6.0,0.0,30.0,4.0,249.0,70
28.0,1.0,2.0,1.0,0.0,100
8.0,1.0,3.0,1.0,52.0,100
20.0,0.0,1.0,1.0,365.0,199
12.0,0.0,10.0,1.0,0.0,66
100.0,1.0,1.0,1.0,360.0,125
10.0,1.0,5.0,2.0,0.0,120
31.0,0.0,29.0,37.0,30.0,35
1.0,1.0,30.0,65.0,364.0,385
113.0,1.0,31.0,2.0,138.0,97
6.0,0.0,3.0,1.0,0.0,90
19.0,1.0,1.0,1.0,70.0,158
12.0,0.0,1.0,1.0,0.0,45
8.0,0.0,7.0,1.0,0.0,70
39.0,0.0,30.0,103.0,251.0,39
30.0,0.0,1.0,1.0,1.0,75
44.0,1.0,2.0,1.0,0.0,275
1.0,0.0,2.0,1.0,0.0,300
6.0,0.0,1.0,2.0,177.0,150
54.0,1.0,1.0,4.0,231.0,165
7.0,1.0,30.0,96.0,327.0,202
15.0,1.0,2.0,2.0,2.0,185
44.0,1.0,18.0,2.0,141.0,170
56.0,0.0,4.0,1.0,114.0,100
19.0,1.0,30.0,232.0,359.0,312
7.0,0.0,3.0,2.0,0.0,160
22.0,1.0,2.0,1.0,4.0,89
83.0,1.0,6.0,1.0,30.0,69
15.0,0.0,10.0,1.0,0.0,60
10.0,1.0,7.0,1.0,0.0,190
0.0,1.0,3.0,1.0,321.0,299
6.0,0.0,6.0,1.0,21.0,45
11.0,1.0,1.0,1.0,0.0,240
4.0,1.0,3.0,2.0,0.0,150
4.0,0.0,5.0,1.0,0.0,60
2.0,1.0,4.0,1.0,0.0,100
134.0,0.0,2.0,2.0,0.0,77
14.0,1.0,4.0,1.0,15.0,175
7.0,1.0,1.0,2.0,133.0,175
21.0,2.0,2.0,1.0,0.0,42
28.0,1.0,30.0,5.0,126.0,133
29.0,1.0,6.0,1.0,0.0,100
3.0,1.0,1.0,4.0,365.0,999
16.0,0.0,7.0,2.0,0.0,40
13.0,0.0,4.0,3.0,193.0,150
6.0,0.0,7.0,1.0,0.0,150
12.0,0.0,3.0,1.0,0.0,75
37.0,0.0,1.0,9.0,362.0,80
6.0,0.0,2.0,1.0,358.0,175
139.0,1.0,3.0,2.0,327.0,149
12.0,0.0,3.0,1.0,0.0,46
99.0,1.0,1.0,1.0,88.0,150
19.0,0.0,3.0,1.0,365.0,250
99.0,1.0,1.0,2.0,257.0,60
4.0,1.0,1.0,1.0,0.0,250
14.0,0.0,1.0,1.0,0.0,81
25.0,0.0,2.0,2.0,72.0,150
7.0,1.0,2.0,1.0,0.0,200
34.0,0.0,30.0,2.0,311.0,95
11.0,1.0,3.0,1.0,0.0,115
8.0,1.0,2.0,1.0,0.0,169
12.0,0.0,1.0,1.0,0.0,59
12.0,0.0,2.0,2.0,7.0,75
6.0,1.0,4.0,1.0,91.0,130
200.0,0.0,3.0,7.0,177.0,38
100.0,0.0,1.0,5.0,365.0,120
28.0,1.0,3.0,1.0,0.0,125
56.0,1.0,5.0,1.0,363.0,135
19.0,1.0,1.0,2.0,178.0,128
80.0,0.0,3.0,1.0,67.0,45
54.0,1.0,59.0,1.0,122.0,104
6.0,0.0,4.0,1.0,9.0,75
117.0,2.0,1.0,1.0,85.0,50
2.0,0.0,3.0,2.0,203.0,59
1.0,1.0,4.0,1.0,178.0,375
3.0,1.0,5.0,1.0,92.0,325
12.0,0.0,4.0,2.0,36.0,80
26.0,1.0,2.0,1.0,0.0,200
7.0,1.0,1.0,2.0,267.0,195
21.0,0.0,2.0,1.0,0.0,45
30.0,0.0,3.0,1.0,0.0,33
9.0,1.0,4.0,1.0,36.0,146
12.0,0.0,1.0,2.0,100.0,88
28.0,1.0,2.0,1.0,248.0,139
12.0,0.0,30.0,1.0,87.0,55
6.0,1.0,2.0,1.0,93.0,195
25.0,1.0,3.0,1.0,13.0,180
31.0,0.0,30.0,103.0,209.0,60
12.0,0.0,1.0,1.0,0.0,65
8.0,1.0,30.0,1.0,74.0,140
2.0,1.0,3.0,1.0,0.0,100
31.0,0.0,1.0,1.0,0.0,46
25.0,1.0,5.0,1.0,15.0,150
30.0,0.0,1.0,1.0,90.0,45
12.0,1.0,2.0,1.0,249.0,275
13.0,1.0,4.0,2.0,34.0,160
19.0,1.0,1.0,1.0,0.0,195
12.0,0.0,30.0,3.0,333.0,72
6.0,2.0,1.0,34.0,365.0,39
6.0,1.0,2.0,1.0,7.0,75
1.0,0.0,2.0,1.0,0.0,95
49.0,0.0,1.0,1.0,145.0,50
6.0,0.0,2.0,1.0,164.0,170
18.0,0.0,7.0,1.0,0.0,50
15.0,0.0,7.0,1.0,0.0,50
24.0,1.0,5.0,1.0,0.0,79
14.0,1.0,1.0,1.0,0.0,300
19.0,1.0,2.0,1.0,0.0,350
15.0,0.0,1.0,1.0,0.0,65
6.0,0.0,1.0,6.0,256.0,90
18.0,0.0,3.0,1.0,0.0,50
52.0,0.0,1.0,1.0,0.0,100
19.0,1.0,1.0,1.0,0.0,275
43.0,1.0,30.0,121.0,184.0,229
78.0,0.0,4.0,1.0,89.0,54
56.0,0.0,3.0,1.0,5.0,78
12.0,0.0,7.0,1.0,331.0,40
23.0,1.0,3.0,1.0,12.0,300
6.0,1.0,1.0,1.0,0.0,100
2.0,0.0,1.0,1.0,0.0,25
29.0,1.0,4.0,1.0,34.0,275
19.0,0.0,2.0,2.0,1.0,95
71.0,1.0,2.0,1.0,0.0,145
21.0,1.0,2.0,1.0,66.0,150
19.0,0.0,2.0,1.0,0.0,250
21.0,0.0,3.0,1.0,0.0,55
81.0,1.0,1.0,1.0,148.0,130
8.0,1.0,2.0,1.0,0.0,250
39.0,0.0,4.0,1.0,25.0,70
44.0,0.0,3.0,2.0,65.0,30
1.0,1.0,5.0,1.0,36.0,399
20.0,1.0,6.0,1.0,42.0,195
17.0,0.0,3.0,1.0,0.0,70
9.0,1.0,2.0,1.0,0.0,250
44.0,0.0,1.0,1.0,0.0,45
15.0,0.0,1.0,1.0,0.0,60
19.0,1.0,30.0,87.0,357.0,245
14.0,1.0,29.0,1.0,64.0,170
8.0,1.0,30.0,8.0,135.0,99
6.0,1.0,5.0,1.0,215.0,190
31.0,0.0,2.0,1.0,0.0,55
22.0,0.0,1.0,1.0,0.0,47
14.0,1.0,90.0,19.0,219.0,139
5.0,1.0,2.0,1.0,0.0,300
12.0,1.0,7.0,1.0,0.0,90
2.0,0.0,30.0,1.0,44.0,39
16.0,1.0,5.0,1.0,27.0,150
8.0,1.0,30.0,10.0,365.0,199
76.0,1.0,2.0,1.0,287.0,145
46.0,0.0,2.0,1.0,180.0,88
11.0,1.0,5.0,1.0,41.0,179
6.0,1.0,28.0,1.0,70.0,120
6.0,0.0,1.0,15.0,285.0,55
19.0,1.0,2.0,1.0,363.0,450
73.0,1.0,3.0,3.0,156.0,180
21.0,0.0,3.0,1.0,0.0,60
8.0,1.0,1.0,1.0,62.0,199
12.0,1.0,2.0,2.0,11.0,209
83.0,0.0,4.0,1.0,0.0,50
52.0,1.0,3.0,3.0,21.0,200
160.0,1.0,2.0,1.0,316.0,93
67.0,1.0,3.0,1.0,172.0,150
34.0,1.0,4.0,3.0,174.0,250
6.0,1.0,14.0,5.0,286.0,68
6.0,1.0,2.0,2.0,255.0,100
8.0,0.0,3.0,1.0,5.0,59
21.0,0.0,1.0,1.0,0.0,55
137.0,1.0,10.0,1.0,180.0,125
13.0,1.0,3.0,1.0,15.0,550
12.0,1.0,15.0,1.0,198.0,190
3.0,0.0,2.0,1.0,37.0,58
2.0,1.0,3.0,2.0,170.0,225
4.0,1.0,3.0,1.0,0.0,120
21.0,0.0,2.0,1.0,344.0,90
