neighbourhood,room_type,minimum_nights,calculated_host_listings_count,availability_365,price
0.0,1.0,3.0,1.0,189.0,89
44.0,0.0,21.0,1.0,73.0,30
7.0,0.0,2.0,1.0,0.0,120
43.0,1.0,2.0,327.0,272.0,470
4.0,1.0,2.0,1.0,30.0,199
12.0,1.0,1.0,1.0,28.0,170
12.0,0.0,5.0,1.0,0.0,90
118.0,1.0,30.0,1.0,121.0,60
27.0,1.0,2.0,1.0,55.0,150
173.0,1.0,2.0,4.0,70.0,74
83.0,2.0,1.0,4.0,354.0,28
126.0,0.0,2.0,1.0,365.0,200
19.0,1.0,3.0,1.0,4.0,230
3.0,0.0,1.0,1.0,0.0,48
13.0,1.0,14.0,1.0,0.0,100
68.0,0.0,3.0,1.0,0.0,100
6.0,1.0,30.0,1.0,133.0,115
27.0,0.0,1.0,1.0,0.0,94
20.0,1.0,1.0,1.0,6.0,124
8.0,1.0,1.0,1.0,0.0,235
182.0,0.0,2.0,1.0,84.0,40
2.0,1.0,1.0,1.0,0.0,115
12.0,1.0,1.0,1.0,272.0,250
11.0,1.0,7.0,1.0,0.0,145
23.0,1.0,3.0,1.0,0.0,200
77.0,1.0,30.0,232.0,38.0,312
72.0,0.0,3.0,1.0,162.0,53
76.0,2.0,1.0,6.0,180.0,79
12.0,0.0,1.0,1.0,19.0,60
2.0,0.0,30.0,103.0,246.0,40
19.0,0.0,2.0,1.0,0.0,70
106.0,1.0,1.0,1.0,344.0,300
20.0,1.0,30.0,52.0,336.0,129
19.0,0.0,1.0,1.0,84.0,75
29.0,1.0,2.0,1.0,0.0,124
12.0,0.0,2.0,1.0,0.0,80
30.0,1.0,5.0,1.0,22.0,100
7.0,0.0,31.0,1.0,250.0,63
23.0,1.0,1.0,1.0,0.0,99
67.0,2.0,10.0,12.0,0.0,28
4.0,1.0,3.0,1.0,0.0,95
2.0,1.0,2.0,1.0,75.0,175
21.0,0.0,35.0,17.0,365.0,55
8.0,1.0,30.0,25.0,363.0,190
2.0,0.0,1.0,2.0,32.0,100
64.0,1.0,1.0,1.0,0.0,250
23.0,0.0,5.0,1.0,0.0,77
43.0,1.0,5.0,1.0,298.0,500
2.0,1.0,1.0,1.0,0.0,100
1.0,0.0,2.0,1.0,49.0,160
15.0,1.0,30.0,1.0,0.0,90
7.0,1.0,4.0,2.0,0.0,130
16.0,0.0,1.0,4.0,0.0,139
7.0,0.0,3.0,6.0,225.0,70
7.0,1.0,1.0,1.0,357.0,225
71.0,0.0,2.0,1.0,0.0,150
21.0,1.0,2.0,1.0,4.0,98
34.0,1.0,3.0,1.0,99.0,125
25.0,0.0,7.0,2.0,34.0,130
21.0,1.0,4.0,1.0,38.0,145
126.0,0.0,30.0,18.0,352.0,39
21.0,0.0,1.0,1.0,0.0,47
37.0,1.0,4.0,1.0,365.0,450
2.0,0.0,3.0,2.0,178.0,80
22.0,0.0,4.0,2.0,0.0,50
14.0,1.0,1.0,1.0,0.0,300
56.0,0.0,4.0,2.0,173.0,46
123.0,0.0,1.0,1.0,88.0,99
15.0,1.0,3.0,1.0,342.0,98
123.0,1.0,1.0,2.0,333.0,145
6.0,0.0,2.0,3.0,99.0,38
3.0,1.0,5.0,1.0,0.0,125
76.0,0.0,2.0,2.0,0.0,125
103.0,1.0,1.0,1.0,360.0,150
21.0,0.0,3.0,1.0,0.0,55
23.0,1.0,1.0,1.0,0.0,225
16.0,1.0,5.0,1.0,11.0,160
19.0,1.0,3.0,1.0,248.0,195
63.0,1.0,3.0,6.0,0.0,278
37.0,1.0,1.0,1.0,151.0,188
16.0,1.0,6.0,1.0,42.0,600
6.0,0.0,1.0,7.0,264.0,70
44.0,0.0,7.0,1.0,89.0,20
11.0,1.0,3.0,1.0,0.0,150
28.0,1.0,21.0,1.0,0.0,155
36.0,1.0,2.0,1.0,43.0,170
20.0,1.0,1.0,1.0,0.0,100
49.0,1.0,4.0,1.0,26.0,100
14.0,0.0,1.0,1.0,0.0,125
2.0,0.0,1.0,3.0,332.0,87
15.0,0.0,2.0,4.0,332.0,52
4.0,1.0,3.0,1.0,7.0,240
2.0,1.0,1.0,1.0,75.0,102
